query,pos,query_en,pos_en
Loài chim nhỏ nhất thế giới,"Với trọng lượng chỉ từ 1,6-2g và chiều dài cơ thể khoảng 6cm, chim ruồi ong chính là loài chim nhỏ nhất thế giới giới.",The smallest bird in the world,"With a weight of only 1.6-2g and a body length of about 6cm, the bee hummingbird is the smallest bird in the world."
Quốc gia nào là quốc gia đầu tiên đoạt chức vô địch Worldcup,"Bàn thắng đầu tiên trong lịch sử World Cup được ghi bởi Lucien Laurent của Pháp. Trong trận chung kết, Uruguay đã đánh bại Argentina 4-2 trước 93.000 người ở Montevideo và trở thành quốc gia đầu tiên vô địch World Cup.",Which country was the first to win the World Cup?,"The first goal in World Cup history was scored by Lucien Laurent of France. In the final, Uruguay defeated Argentina 4-2 against 93,000 people in Montevideo and became the first nation to win the World Cup."
Quê hương của Trạng Trình ở tỉnh nào,Lý Học là quê hương của Trạng trình Nguyễn Bỉnh Khiêm. Quần thể di tích đền thờ trạng Trình đã được xếp hạng di tích quốc gia đặc biệt theo Quyết định 2367/QĐ-TTg năm 2015 ngày 23/12/2015.,What province is Trạng trình's hometown in,Ly Hoc is the hometown of Trinh Trinh Nguyen Binh Khiem. Trinh Trinh temple relic complex has been ranked a special national relic under Decision 2367/QD-TTg 2015 dated 23/12/2015.
Thăng Long được đổi tên thành Hà Nội từ năm nào,"Hà Nội nằm giữa[6] đồng bằng sông Hồng trù phú, nơi đây đã sớm trở thành một trung tâm chính trị, kinh tế và văn hóa ngay từ những buổi đầu của lịch sử Việt Nam. Năm 1010, vua Lý Thái Tổ, vị hoàng đế đầu tiên của nhà Lý, quyết định xây dựng kinh đô mới ở vùng đất này với cái tên Thăng Long. Trong suốt thời kỳ của các triều đại Lý, Trần, Lê, Mạc, kinh thành Thăng Long là trung tâm văn hóa, giáo dục và buôn bán của cả nước. Khi Tây Sơn rồi nhà Nguyễn lên nắm quyền trị vì, kinh đô được chuyển về Huế và Thăng Long bắt đầu mang tên Hà Nội từ năm 1831, dưới thời vua Minh Mạng.",When was Thang Long renamed Hanoi?,"Hanoi is located in the middle[6] of the rich Red River Delta, which has soon become a political, economic and cultural center since the early days of Vietnamese history. In 1010, King Ly Thai To, the first emperor of the Ly dynasty, decided to build a new capital in this land with the name of Thang Long. During the period of the Ly, Tran, Le, Mac dynasties, Thang Long citadel was the cultural, educational and trading center of the country. When Tay Son and the Nguyen Dynasty came to power, the capital was moved to Hue and Thang Long began to bear the name of Hanoi in 1831, under King Minh Mang."
Viết tắt của hệ thống định vị toàn cầu,"Hệ thống Định vị Toàn cầu (tiếng Anh: Global Positioning System - GPS) là hệ thống xác định vị trí dựa trên vị trí của các vệ tinh nhân tạo, do Bộ Quốc phòng Hoa Kỳ thiết kế, xây dựng, vận hành và quản lý. Trong cùng một thời điểm, tọa độ của một điểm trên mặt đất sẽ được xác định nếu xác định được khoảng cách từ điểm đó đến ít nhất ba vệ tinh.",An abbreviation for global positioning system,"The Global Positioning System (GPS) is a positioning system based on the location of artificial satellites, designed, built, operated and managed by the United States Department of Defense. At the same time, the coordinates of a point on the ground will be determined if the distance from that point to at least three satellites is determined."
Bác Hồ viết tuyên ngôn độc lập tại đâu,"Căn nhà 48 Hàng Ngang (phường Hàng Đào, quận Hoàn Kiếm, Hà Nội) - nơi Bác Hồ khởi thảo Bản Tuyên ngôn Độc lập - ngày nay vẫn còn lưu giữ nhiều kỷ vật quý giá của lịch sử.",Where did Uncle Ho write the Declaration of Independence?,"The house at 48 Hang Ngang (Hanoi's Hang Dao Ward, Hoan Kiem District), where Uncle Ho drafted the Declaration of Independence, still holds many precious historical relics."
Bệnh AIDS được phát hiện đầu tiên vào năm nào,"Mẫu máu có HIV dương tính được phát hiện đầu tiên vào năm 1959 tại Zaize - châu Phi. Mãi đến năm 1981, bệnh AIDS trên lâm sàng được phát hiện đầu tiên tại Mỹ. Đó là 5 trường hợp đồng tính luyến ái nam bị viêm phổi nặng ở Los Angeles ( Califonia, Mỹ) do P. Carini phát hiện.",What year was AIDS first discovered,"HIV-positive blood samples were first detected in 1959 in Zaize - Africa. It was not until 1981 that AIDS was first clinically detected in the US. It was 5 cases of male homosexuality with severe pneumonia in Los Angeles (Califonia, USA) detected by P. Carini."
Ai là người tìm ra định luật quang điện,Có nhiều người đưa ra các mô hình giải thích khác nhau về hiệu ứng quang điện tuy nhiên đều không thành công do sử dụng mô hình sóng ánh sáng. Albert Einstein là người giải thích thành công hiệu ứng quang điện bằng cách sử dụng mô hình lượng tử ánh sáng. Heinrich Hertz và Stoletov là những người nghiên cứu chi tiết về hiệu ứng quang điện và đã thành lập các định luật quang điện.,Who found the law of photovoltaics,There are many different models of explanation of the photoelectric effect that are unsuccessful due to the use of the wave model of light. Albert Einstein was the one who successfully explained the photoelectric effect using the quantum model of light. Heinrich Hertz and Stoletov were the ones who studied in detail the photoelectric effect and established the laws of photoelectricity.
Tỉnh nào có biên giới dài nhất Việt Nam,"Tỉnh Cao Bằng có đường biên giới dài nhất Việt Nam, tiếp giáp với Trung Quốc. Theo cổng thông tin điện tử tỉnh, Cao Bằng thuộc miền núi, biên giới vùng Đông Bắc Việt Nam.",Which province has the longest border in Vietnam,"Cao Bang province has the longest borderline in Vietnam, adjacent to China. According to the provincial portal, Cao Bang belongs to the mountainous and border region of Northeast Vietnam."
Con người có mấy nhóm máu chính,"Máu con người được chia làm nhiều nhóm - dựa theo một số chất cacbohydrat và protein đặc thù trên hồng cầu. Hiện có khoảng 40 nhóm khác nhau đã được phát hiện, nhưng có hai nhóm quan trọng hơn cả là nhóm máu ABO và yếu tố Rhesus (Rh). Vì những lý do chưa được khám phá, máu của mỗi nhóm có thể có kháng thể chống lại những nhóm kia. Do đó, khi truyền máu khác nhóm vào, kháng thể của người nhận có thể phá hủy máu được truyền, gây tác hại cho cơ thể.",How many major blood types do humans have?,"Human blood is divided into several groups - based on some specific carbohydrates and proteins on red blood cells. There are currently about 40 different groups that have been discovered, but the two most important are the ABO blood group and the Rhesus factor (Rh). For reasons that have not yet been explored, the blood of each group may have antibodies against the others. Therefore, when transfusions of blood from another group enter, the recipient's antibodies can destroy the transfused blood, causing harm to the body."
Tiger cup lần đầu tiên được tổ chức ở đâu Vào thời gian nào,Tiger Cup đầu tiên được tổ chức vào năm 1996. Cho đến khi Việt Nam vô địch Tiger Cup 2018 thì giải đấu này đã có lịch sử 22 năm với 12 kỳ tổ chức. Tiger Cup lần đầu tiên được tổ chức ở đâu? Đây là câu hỏi được không ít khán giả yêu bóng đá quan tâm. Kỳ đầu tiên vào năm 1996 tại đất nước Singapore.,Where was the Tiger Cup first held At what time,"The first Tiger Cup was held in 1996. Until Vietnam won the Tiger Cup 2018, this tournament has a history of 22 years with 12 editions. Where was the first Tiger Cup held? This is a question that many football fans are interested in. The first edition was in 1996 in Singapore."
Quốc tế I được thành lập ở đâu,"Đệ Nhất Quốc tế tên đầy đủ là Hội Liên hiệp Lao động Quốc tế, tiếng Anh The International Workingmen's Association (IWA, 1864–1876), là tổ chức tranh đấu đầu tiên của các nhóm xã hội quốc tế, được thành lập ở Luân Đôn vào ngày 28 tháng 9 năm 1864, mục đích là để đoàn kết các nhóm xã hội khuynh tả, cộng sản, các nhóm vô chính phủ và các tổ chức công đoàn. Trong thời gian tồn tại, Đệ Nhất Quốc tế tiến hành năm đại hội, thông qua các nghị quyết quan trọng: tán thành bãi công, thành lập công đoàn, đấu tranh đòi ngày làm 8 giờ, đòi cải thiện đời sống công nhân. Do sự ảnh hưởng của Đệ Nhất Quốc tế, công nhân các nước tích cực tham gia vào phong trào đấu tranh chính trị. Vào điểm cao, theo như tường trình của cảnh sát liên hiệp có tới khoảng 5 triệu hội viên [1] Theo những tài liệu chính thức của IWA thì họ có khoảng 8 triệu hội viên.[2]",Where was International I established,"The International Workingmen's Association (IWA, 1864–1876), the first organization of international social groups, was founded in London on September 28, 1864, with the aim of uniting leftist, communist, anarchist and trade union groups. During its existence, the First International conducted five congresses, adopting important resolutions: endorsing strikes, establishing trade unions, fighting for the eight-hour working day, demanding improvements in workers' lives. Due to the influence of the First International, workers from other countries actively participated in the political struggle movement. At its height, according to the report of the union police, there were about 5 million members [1] According to the official documents of IWA, they had about 8 million members.[2]"
Ai là người phát minh ra máy quay phim,"Máy quay phim: Phát minh kỳ diệu của anh em Lumière Phương Hiền (Theo Interesting Engineering, National Geographic) 22/12/2018 07:46 Sau hơn 120 năm hình thành và phát triển, điện ảnh đã trở thành một môn nghệ thuật, công cụ truyền thông đại chúng và loại hình giải trí quan trọng bậc nhất đối với xã hội hiện đại – điều không thể đạt được nếu thiếu vắng nền tảng do hai anh em Lumière thiết lập.",Who invented the video camera,"Cinema: Lumière Brothers' Miraculous Invention by Phuong Hien (According to Interesting Engineering, National Geographic) December 22, 2018 07:46 After more than 120 years of formation and development, cinema has become an art, mass media tool and the most important form of entertainment for modern society – something that cannot be achieved without the foundation established by the Lumière brothers."
Điểm cực Nam nước ta có vĩ độ bao nhiêu,"Điểm cực nam trên đất liền của tỉnh Cà Mau nằm ở xã Viên An, huyện Ngọc Hiển, có độ vĩ 8°30' Bắc. Mũi Cà Mau là điểm cực Tây của tỉnh Cà Mau.",How much latitude is the southernmost point of our country,"The southernmost point on the mainland of Ca Mau province is located in Vien An commune, Ngoc Hien district, with a latitude of 8°30' North. Ca Mau cape is the westernmost point of Ca Mau province."
Thành phố được coi sạch nhất thế giới,"Helsinki nổi tiếng với những điểm du lịch kỳ lạ như hệ thống điện tiêu tiết kiệm năng lượng. Mục đích của hệ thống này để giúp thành phố thân thiện với người dân nơi đây hơn. Môi trường cực kỳ trong sạch, ý thức người dân cao, hệ thống giao thông chuẩn mực đã giúp thủ đô của Phần Lan đứng đầu trong danh sách những thành phố sạch nhất thế giới.",The world's cleanest city,"Helsinki is famous for its exotic tourist attractions such as the energy-saving electricity system. The purpose of this system is to help the city be more friendly to its residents. Extremely clean environment, high people's consciousness, standard transportation system has helped the capital of Finland to top the list of the cleanest cities in the world."
Vực sâu nhất thế giới có tên là gì,"Rãnh Mariana, còn gọi là vực Mariana hay vũng Mariana, là rãnh đại dương sâu nhất đã biết, và điểm sâu nhất của nó là nơi sâu nhất trong lớp vỏ Trái Đất. Nó nằm trên phần đáy của khu vực tây bắc Thái Bình Dương, về phía đông quần đảo Mariana. ... Rãnh Mariana kéo dài tới gần Nhật Bản.",What's the name of the deepest place in the world?,"The Mariana Trench, also known as the Mariana Basin or the Mariana Basin, is the deepest known oceanic trench, and its deepest point is the deepest place in the Earth's crust. It is located on the bottom of the northwestern Pacific Ocean, east of the Mariana Islands. ... The Mariana Trench extends to nearby Japan."
"Tập thơ ""Nhật ký trong tù"" gồm bao nhiêu bài","Nhật ký trong tù (nguyên văn chữ Hán: 獄中日記 - Hán-Việt: Ngục trung nhật ký) là tập thơ chữ Hán gồm 133 bài theo thể Đường luật do Hồ Chí Minh sáng tác trong thời gian bị chính quyền Tưởng Giới Thạch bắt giam ở Quảng Tây, Trung Quốc, từ ngày 29 tháng 8 năm 1942 đến ngày 10 tháng 9 năm 1943. Ngoài ra, phần cuối văn bản là bút ký đọc sách và bút ký đọc báo ghi chép tóm tắt những thông tin quan trọng về chính trị, quân sự, văn hóa quốc tế và Việt Nam đương thời.","How many poems is ""Diary in Prison""?","Diary in Prison (Chinese: 獄中日記) is a collection of 133 lines of Chinese poetry written by Ho Chi Minh during his imprisonment in Guangxi, China, from August 29, 1942 to September 10, 1943. In addition, the last part of the text is a book-reading pen and newspaper-reading pen that summarizes important information about politics, military, international culture and Vietnam at the time."
Thực dân Pháp mở đầu các cuộc xâm lược Việt Nam tại đâu,"Năm 1859, Pháp đánh chiếm thành Gia Định, mở đầu cuộc xâm lược đất Việt Nam.",Where did the French colonists begin their invasions of Vietnam?,"In 1859, the French captured Gia Dinh Castle, beginning their invasion of Vietnam."
Hòn đảo lớn nhất nước ta,"Phú Quốc, còn được mệnh danh là Đảo Ngọc, là hòn đảo lớn nhất của Việt Nam, cũng là đảo lớn nhất trong quần thể 22 đảo tại đây, nằm trong vịnh Thái Lan. Đảo Phú Quốc cùng với các đảo khác tạo thành huyện đảo Phú Quốc trực thuộc tỉnh Kiên Giang.",The largest island in our country,"Phu Quoc Island, also known as Ngoc Island, is the largest island of Vietnam, also the largest island in the population of 22 islands here, located in the Gulf of Thailand. Phu Quoc Island together with other islands form Phu Quoc Island District directly under Kien Giang Province."
Người sáng lập ra triều đại nhà Nguyễn,"Nhà Nguyễn được thành lập sau khi Nguyễn Ánh (Hoàng đế Gia Long) lên ngôi năm 1802 và chấm dứt hoàn toàn khi Hoàng đế Bảo Đại thoái vị vào năm 1945, tổng cộng là 143 năm. Triều Nguyễn là một triều đại đánh dấu nhiều thăng trầm của lịch sử, đặc biệt là cuộc xâm lược của người Pháp giữa thế kỷ 19",Founder of the Nguyen Dynasty,"The Nguyen Dynasty was established after Nguyen Anh (Emperor Gia Long) ascended the throne in 1802 and ended completely when Emperor Bao Dai abdicated in 1945, a total of 143 years. The Nguyen Dynasty was a dynasty that marked many ups and downs of history, especially the French invasion of the mid-19th century"
Pháo hoa có xuất xứ từ khi nào,"Là loại pháo lễ hội có lịch sử lâu đời, pháo hoa rất thịnh hành trong dân gian các nước phương Đông đặc biệt là Trung Hoa từ thời cổ đại. Tuy nhiên, hiện nay pháo hoa đã trở nên phổ biến toàn cầu và được sản xuất chủ yếu tại các nhà máy công nghiệp.",When did fireworks originate,"As a kind of festival fireworks with a long history, fireworks are very popular in folk Eastern countries especially China since ancient times. However, now fireworks have become popular globally and are produced mainly in industrial plants."
Tỉnh nào sông Hồng bắt đầu chảy vào Việt Nam,"Điểm tiếp xúc đầu tiên của sông Hồng với lãnh thổ Việt Nam là tại xã A Mú Sung (huyện Bát Xát, tỉnh Lào Cai), chính giữa sông là điểm phân chia lãnh thổ hai nước. Đến thành phố Lào Cai, sông Hồng chảy hẳn vào lãnh thổ Việt Nam. Đến phía đông thành phố Lào Cai, sông thành ranh giới giữa thành phố và huyện Bảo Thắng, đi qua Bảo Thắng và Bảo Yên, dọc theo ranh giới Bảo Yên và Văn Bàn.",Which province does the Red River begin flowing into Vietnam,"The first point of contact of the Red River with the territory of Vietnam is in A Mu Sung commune (Bat Xat district, Lao Cai province), the middle of the river is the point that divides the territory of the two countries. To Lao Cai city, the Red River flows into the territory of Vietnam. To the east of Lao Cai city, the river forms the boundary between the city and Bao Thang district, passing Bao Thang and Bao Yen, along the boundary of Bao Yen and Van Ban."
Người việt nam đầu tiên được Unessco công nhận là danh nhân văn hoá thế giới,"Nhắc đến danh nhân văn hóa thế giới, đầu tiên chúng ta phải nói đến những danh nhân của nước nhà, mà tiêu biểu nhất là Bác Hồ.",The first Vietnamese recognized as world cultural celebrity by Unessco,"Speaking of world cultural celebrities, we must first talk about the national celebrities, the most representative of which is Uncle Ho."
Hệ điều hành Mac OS thuộc sở hữu của công ty nào,Mac OS (viết tắt của Macintosh Operating System) là hệ điều hành có giao diện hình ảnh và được phát triển bởi công ty Apple Computer cho các máy tính Apple Macintosh. Phiên bản đầu tiên ra đời năm 1984.,Which company owned Mac OS,Mac OS (short for Macintosh Operating System) is an operating system with an image interface and was developed by Apple Computer for the Apple Macintosh computers. The first version came out in 1984.
Nhà toán học nào là người đầu tiên phát hiện ra hiện tượng nhật thực,"Johannes Kepler (tiếng Đức: [joˈhanəs ˈkɛplɐ, -nɛs -][1][2]; 27 tháng 12, 1571 – 15 tháng 11 năm 1630), là một nhà toán học, thiên văn học và chiêm tinh học người Đức.",Who was the first mathematician to discover an eclipse?,"Johannes Kepler (German: [joˈhanəs ˈkɛplɐ, -nɛs -][1][2]; 27 December 1571 – 15 November 1630) was a German mathematician, astronomer and astrologer."
"Ai đánh bại quân Nam Hán, chấm dứt thời kỳ 1000 năm Bắc thuộc cho dân tộc ta","Ngày nay, khi hỏi bất kỳ người Việt Nam nào về thời điểm kết thúc ngàn năm Bắc thuộc mở đầu cho kỷ nguyên độc lập, hầu như câu trả lời chắc chắn sẽ là năm 938. Dấu chấm hết cho một giai đoạn lệ thuộc là chiến thắng của Ngô Quyền trên sông Bạch Đằng trước quân Nam Hán.","Whoever defeats the Southern Han forces, ends the 1,000 years of Northern rule for our people.","Today, when asked any Vietnamese about the end of the thousand years of North Vietnamese occupation that ushered in the era of independence, most likely the answer would be 938. The end of a period of dependence was Ngo Quyen's victory on the Bach Dang River over the South Han forces."
Bài hát 19 tháng 8 là sáng tác của ai,"Trong khu nhà nhỏ phố Quán Sứ, Hà Nội, đôi khi vẫn vang lên tiếng dương cầm của một nghệ sĩ già mà bà con lối xóm vẫn thân mật gọi ông bằng ""Bác Oanh"". Nhưng ít ai biết người nghệ sĩ giản dị ấy lại chính là tác giả của bài ca ""19 tháng 8"", một ca khúc nổi tiếng mà cứ mỗi độ thu về được nghe những giai điệu tuyệt vời ấy, lòng ta lại thấy bồi hồi, xúc động.",Whose song August 19 was composed,"In the small quarter of Quan Su Street, Hanoi, sometimes there is still the sound of an old artist whose neighbors still call him ""Uncle Oanh"". But few people know that this simple artist is the author of the song ""19 August"", a famous song that every time you hear these wonderful melodies, your heart feels revived and moved."
Quốc gia lớn nhất châu phi,Algeria diện tích 2.381.741,Africa's largest country,"Algeria area 2,381,741"
Nhà hát tổ chức lễ trao giải Oscar,"Từ năm 1950 đến năm 1960, địa điểm được lựa chọn là Nhà hát Pantages. Từ năm 1961, đến lượt thính phòng Santa Monica Civic Auditorium ở Santa Monica, California được tổ chức lễ trao giải Oscar. Năm 1968, một lần nữa lễ trao giải trở về Los Angeles, lần này là tại rạp Dorothy Chandler Pavilion nằm trong Trung tâm Âm nhạc Los Angeles. Rạp The Dorothy Chandler Pavilion là nơi tổ chức 20 đêm trao giải liên tiếp cho đến tận năm 1988, sau đó giải Oscar lại được trao luân phiên ở Trung tâm Âm nhạc và thính phòng Shrine Auditorium. Kể từ năm 2002, Nhà hát Kodak (từ năm 2012 đổi tên là ""Trung tâm Hollywood và Highland"", sau đó là ""Nhà hát Dolby"") của Hollywood trở thành địa điểm tổ chức lâu dài đầu tiên của giải thưởng.",The Academy Awards Theatre,"From 1950 to 1960, the venue was the Pantages Theatre. From 1961, the Santa Monica Civic Auditorium in Santa Monica, California hosted the Academy Awards. In 1968, the awards returned to Los Angeles, this time at the Dorothy Chandler Pavilion in the Los Angeles Music Center. The Dorothy Chandler Pavilion hosted 20 consecutive awards nights until 1988, after which the Oscars alternated between the Music Center and the Shrine Auditorium. Since 2002, Hollywood's Kodak Theatre (renamed the ""Hollywood and Highland Center"", then the ""Dolly Theatre"") has been the first permanent venue for the awards."
Cảng lớn nhất Trung Quốc là cảng nào,"Cảng Thượng Hải (Shanghai) – cảng biển lớn nhất Trung Quốc. Nằm trên cửa sông Dương Tử thuộc thành phố Thượng Hải, cảng có diện tích 3,94km2 là một trong những khu vực kinh tế phát triển nhanh nhất trên thế giới.",What is China's largest port,"Shanghai Port (Shanghai) – China's largest seaport. Located on the mouth of the Yangtze River in Shanghai City, the port covers an area of 3.94km2 is one of the fastest growing economic regions in the world."
Mù Cang Chải thuộc tỉnh nào,"Mù Cang Chải, đôi khi viết là Mù Căng Chải là một huyện miền tây tỉnh Yên Bái.",What province is Mu Cang Chai?,"Mu Cang Chai, sometimes spelled Mu Cang Chai, is a western district of Yen Bai province."
Mù Cang Chải thuộc tỉnh nào,"Huyện Mù Cang Chải thuộc tỉnh Yên Bái, phía bắc giáp huyện Văn Bàn của tỉnh Lào Cai, phía nam giáp huyện Mường La của tỉnh Sơn La, phía tây giáp huyện Than Uyên của tỉnh Lai Châu, phía đông giáp huyện Văn Chấn cùng tỉnh.",What province is Mu Cang Chai?,"Mu Cang Chai district belongs to Yen Bai province, borders on Van Ban district of Lao Cai province to the north, Muong La district of Son La province to the south, Than Uyen district of Lai Chau province to the west and Van Chan district of the same province to the east."
Vịnh Hạ Long lần thứ hai được công nhận là di sản thiên nhiên thế giới vào năm nào,"Ngày 2 tháng 12 năm 2000, căn cứ Công ước Quốc tế về bảo vệ Di sản văn hóa và thiên nhiên thế giới và kết quả xét duyệt hồ sơ địa chất vịnh Hạ Long, tại Hội nghị lần thứ 24 của Hội đồng Di sản Thế giới tại thành phố Cairns, Queensland, Úc, Hội đồng Di sản Thế giới đã công nhận vịnh Hạ Long là di sản thế giới lần thứ 2 theo tiêu chuẩn (viii) về giá trị địa chất với hai giá trị nổi bật toàn cầu về lịch sử địa chất và địa mạo caxtơ.",When will Ha Long Bay be recognized as a World Natural Heritage for the second time,"On December 2, 2000, based on the International Convention for the Protection of World Cultural and Natural Heritages and the results of the examination and approval of the Ha Long Bay geological dossier, at the 24th Conference of the World Heritage Council in Cairns, Queensland, Australia, the World Heritage Council recognized Ha Long Bay as a World Heritage Site for the second time according to standard (viii) on geological value with two outstanding global values of geological history and karst geomorphology."
Đèn Neon do ai phát minh,Đèn Neon  do Thomas Edison phát minh,Who invented Neon lights,Neon lamp invented by Thomas Edison
Đỉnh núi Anapurna ở Nêpan cao bao nhiêu,"Khối núi Annapurna (tiếng Sanskrit, Nepal, Newar: अन्नपूर्णा) Annapurna (Phạn ngữ, Nepal, Newar: अन्नपूर्णा) là một khối núi ở dãy Himalaya ở miền trung bắc Nepal, bao gồm một đỉnh cao hơn 8.000 mét (26.000 ft), mười ba đỉnh trên 7.000 mét và hơn 16.000 mét (hơn 6.000 mét) 20.000 ft)",How high is Mount Anapurna in Nepal,"Annapurna massif (Sanskrit: अन्नपूर्णा, Nepali: अन्नपूर्णा) Annapurna (Sanskrit: अन्नपूर्णा, Nepali: अन्नपूर्णा) is a massif in the Himalayas in north - central Nepal, consisting of a peak over 8,000 metres (26,000 ft), thirteen peaks over 7,000 metres and over 16,000 metres (more than 6,000 metres) 20,000 ft.)"
Vị thủ tướng Anh nào từng đạt giải Nobel Văn học,Giải Nobel Văn học/Người giành giải/Vương Quốc Anh Winston Churchill,Which British Prime Minister has won the Nobel Prize in Literature,Nobel Prize in Literature/Winner/United Kingdom Winston Churchill
Tên của tôn giáo cổ xưa nhất trên thế giới,"tôn giáo ra đời khoảng 45.000 năm trước đây với những hình thức tôn giáo sơ khai như đạo Vật tổ (Tôtem), Ma thuật và Tang lễ. Đây là thời kỳ tương ứng với thời kỳ đồ đá cũ.",Name of the oldest religion in the world,"religion was born about 45,000 years ago with the early forms of religion such as Totemism, Magic and Funeral. This is the period corresponding to the Old Stone Age."
Tháp truyền hình cao nhất thế giới thuộc quốc gia nào,"Danh hiệu tòa tháp truyền hình cao nhất thế giới hiện nay thuộc về tháp Tokyo Skytree - biểu tượng của thủ đô Tokyo (Nhật) và là biểu tượng cho trình độ khoa học công nghệ của đất nước mặt trời mọc. ... “Á quân” tháp truyền hình cao nhất thế giới là tháp Quảng Châu, Trung Quốc cao 600 m, được khánh thành năm 2010.",Which country belongs to the world's tallest television tower,"The title of the world's tallest television tower now belongs to the Tokyo Skytree - the symbol of Tokyo (Japan) and a symbol of the scientific and technological level of the country of the rising sun. ... “The runner-up” world's tallest television tower is Guangzhou Tower, China, 600 m high, was inaugurated in 2010."
Khoảng cách từ trái đất tới mặt trời là bao nhiêu,"Trái Đất và các thiên thể khác như các hành tinh, tiểu hành tinh, thiên thạch, sao chổi, và bụi quay quanh Mặt Trời. Khoảng cách trung bình giữa Mặt Trời và Trái Đất xấp xỉ 149,6 triệu kilômét (1 Đơn vị thiên văn AU) nên ánh sáng Mặt Trời cần 8 phút 19 giây mới đến được Trái Đất.",What is the distance from the Earth to the Sun?,"Earth and other bodies such as planets, asteroids, meteors, comets, and dust orbit the Sun. The average distance between the Sun and Earth is approximately 149.6 million kilometers (1 astronomical unit AU) so sunlight takes 8 minutes 19 seconds to reach the Earth."
Hoạ sĩ Tô Ngọc Vân nổi tiếng với bức tranh gì,"Tác phẩm thiếu nữ bên hoa sen (1943) của họa sĩ Tô Ngọc Vân     Tác phẩm nổi tiếng ""Thiếu nữ bên hoa huệ"" của họa sĩ Tô Ngọc Vân     Chân dung cố họa sĩ Tô Ngọc Vân",What is artist To Ngoc Van famous for painting,"Artist To Ngoc Van's famous work ""Teen woman at the lily"" (1943) Portrait of the late artist To Ngoc Van"
Cho đến nay nước ta đã có bao nhiêu di sản văn hóa phi vật thể được Unessco công nhận,"Đến tháng 1 năm 2018, cả nước có 248 di sản văn hóa phi vật thể cấp quốc gia, bao gồm 93 lễ hội truyền thống, 60 di sản nghệ thuật trình diễn dân gian, 59 di sản tập quán xã hội và tín ngưỡng, 23 di sản nghề thủ công truyền thống, 5 di sản tri thức dân gian, 5 di sản tiếng nói, chữ viết và 4 di sản ngữ văn dân gian (trong đó có một di sản hỗn hợp là nói lý, hát lý của người Cơ Tu đồng thời là di sản nghệ thuật trình diễn dân gian và di sản tiếng nói, chữ viết). Tuy nhiên, đây chỉ là số liệu mang tính tương đối, do có những di sản được tính chung cho nhiều tỉnh, thành phố (ví dụ: ca trù, đờn ca tài tử Nam Bộ), ngược lại có những di sản được tính riêng cho từng tỉnh, thành phố (ví dụ: Lễ hội cầu Ngư, nghệ thuật bài chòi). Một trường hợp đặc biệt là nghi lễ cấp sắc của người Dao, năm 2012 được công nhận là di sản chung của các tỉnh Bắc Kạn, Hà Giang, Lào Cai và Yên Bái, lần lượt các năm sau đó lại được công nhận là di sản riêng của tỉnh Tuyên Quang (năm 2013 ), tỉnh Thái Nguyên (năm 2014) và tỉnh Sơn La (năm 2016).",So far our country has had many intangible cultural heritage recognized by Unessco,"As of January 2018, the country has 248 national intangible cultural heritages, including 93 traditional festivals, 60 heritages of folk performing arts, 59 heritages of social practices and beliefs, 23 heritages of traditional crafts, 5 heritages of folk knowledge, 5 heritages of spoken and written languages and 4 heritages of folklore (including a mixed heritage of lyric speaking and lyric singing of the Co Tu people and heritage of folk performing arts and heritage of spoken and written languages). However, this is only a relative figure, because there are heritages calculated for many provinces and cities (e.g. ca tru, dong ca tài tử Nam Bo), in contrast, there are heritages calculated separately for each province or city (e.g. Cau Ngu Festival, the art of post-hut). A special case is the honorary ceremony of the Dao people, which in 2012 was recognized as a common heritage of Bac Kan, Ha Giang, Lao Cai and Yen Bai provinces, and in subsequent years was recognized as a separate heritage of Tuyen Quang province (in 2013 ), Thai Nguyen province (in 2014) and Son La province (in 2016)."
Hồ Tây còn có tên gọi khác là hồ gì,"Kết quả hình ảnh cho Hồ Tây còn có tên gọi khác là hồ gì Hồ Tây( ở Việt Nam ) trước đây còn có các tên gọi khác như Đầm Xác Cáo, Hồ Kim Ngưu, Lãng Bạc, Dâm Đàm, Đoài Hồ, là một hồ nước tự nhiên lớn nhất ở nội thành thủ đô Hà Nội.",What else is the West Lake?,"Image results for West Lake is also known as West Lake (in Vietnam), formerly known as Dam Xac Cao, Lake Taurus, Lang Bac, Dam Dam, Hoai Lake, is the largest natural lake in the inner city of Hanoi."
Vệ tinh nhân tạo đầu tiên có tên là gì,"Sputnik 1. ... Sputnik 1 (tiếng Nga: Спутник 1, ""vệ tinh 1"") là vệ tinh nhân tạo đầu tiên trên thế giới do Liên bang Xô Viết chế tạo và tên lửa R-7 lần đầu phóng lên quỹ đạo vào ngày 4 tháng 10 năm 1957, được xem là ngày mở đầu kỷ nguyên chinh phục vũ trụ của loài người.",What was the name of the first artificial satellite,"Sputnik 1. ... Sputnik 1 (Russian: Спутник 1, ""satellite 1"") was the world's first artificial satellite built by the Soviet Union, and the R - 7 rocket first launched into orbit on October 4, 1957, which is considered the opening day of the era of human spaceflight."
